local_path,obs_key,size,status,message
E:\PythonProject\obs_sync_check\.venv\Scripts\_queue.pyd,test_0312/.venv/Scripts/_queue.pyd,33552,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_testmultiphase.pyd,test_0312/.venv/Scripts/_testmultiphase.pyd,39184,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\normalizer.exe,test_0312/.venv/Scripts/normalizer.exe,108427,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_112816.csv,test_0312/check_report/obs_sync_check_20260414_112816.csv,688538,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\markdown-it.exe,test_0312/.venv/Scripts/markdown-it.exe,108414,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\build_db.cpython-313.pyc,test_0312/core/__pycache__/build_db.cpython-313.pyc,1263,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\checkpoint.cpython-313.pyc,test_0312/core/__pycache__/checkpoint.cpython-313.pyc,8466,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\pip3.exe,test_0312/.venv/Scripts/pip3.exe,108415,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\dashboard.cpython-39.pyc,test_0312/core/__pycache__/dashboard.cpython-39.pyc,2306,SUCCESS,
E:\PythonProject\obs_sync_check\logs\obs_sync_check_20260414_5.log,test_0312/logs/obs_sync_check_20260414_5.log,768710,SUCCESS,
E:\PythonProject\obs_sync_check\core\state\tasks.db,test_0312/core/state/tasks.db,16384,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\progress.cpython-39.pyc,test_0312/core/__pycache__/progress.cpython-39.pyc,2522,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\uploader.cpython-39.pyc,test_0312/core/__pycache__/uploader.cpython-39.pyc,2745,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_wmi.pyd,test_0312/.venv/Scripts/_wmi.pyd,38160,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\scanner.cpython-39.pyc,test_0312/core/__pycache__/scanner.cpython-39.pyc,1927,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\progress.cpython-313.pyc,test_0312/core/__pycache__/progress.cpython-313.pyc,4907,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\checkpoint.cpython-39.pyc,test_0312/core/__pycache__/checkpoint.cpython-39.pyc,2616,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\utils.cpython-313.pyc,test_0312/core/__pycache__/utils.cpython-313.pyc,5825,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\03\9b46aee11382ee6f32125b6294cf16f9e5627b,test_0312/.git/objects/03/9b46aee11382ee6f32125b6294cf16f9e5627b,997,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\dashboard.cpython-313.pyc,test_0312/core/__pycache__/dashboard.cpython-313.pyc,5256,SUCCESS,
E:\PythonProject\obs_sync_check\logs\obs_sync_check_20260414_7.log,test_0312/logs/obs_sync_check_20260414_7.log,787682,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\__init__.cpython-313.pyc,test_0312/core/__pycache__/__init__.cpython-313.pyc,796,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\0d\96ddd273e77f0b4a2447508a4e704cfa5e4991,test_0312/.git/objects/0d/96ddd273e77f0b4a2447508a4e704cfa5e4991,1192,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_testclinic_limited.pyd,test_0312/.venv/Scripts/_testclinic_limited.pyd,27408,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\obs_index.cpython-313.pyc,test_0312/core/__pycache__/obs_index.cpython-313.pyc,1816,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\00\7bc86365faf6f1e30a03957ded4815f4b6bc43,test_0312/.git/objects/00/7bc86365faf6f1e30a03957ded4815f4b6bc43,197,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\scheduler.cpython-39.pyc,test_0312/core/__pycache__/scheduler.cpython-39.pyc,1466,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\pyexpat.pyd,test_0312/.venv/Scripts/pyexpat.pyd,201488,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\__init__.cpython-39.pyc,test_0312/core/__pycache__/__init__.cpython-39.pyc,735,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_multiprocessing.pyd,test_0312/.venv/Scripts/_multiprocessing.pyd,35600,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\scheduler.cpython-313.pyc,test_0312/core/__pycache__/scheduler.cpython-313.pyc,2461,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\uploader.cpython-313.pyc,test_0312/core/__pycache__/uploader.cpython-313.pyc,11235,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\04\b20c92192f9ab28785872599ebe25af6b2bb28,test_0312/.git/objects/04/b20c92192f9ab28785872599ebe25af6b2bb28,463,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\ratelimiter.cpython-39.pyc,test_0312/core/__pycache__/ratelimiter.cpython-39.pyc,893,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\python3.dll,test_0312/.venv/Scripts/python3.dll,70416,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_testconsole.pyd,test_0312/.venv/Scripts/_testconsole.pyd,26896,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\ratelimiter.cpython-313.pyc,test_0312/core/__pycache__/ratelimiter.cpython-313.pyc,1555,SUCCESS,
E:\PythonProject\obs_sync_check\core\__pycache__\utils.cpython-39.pyc,test_0312/core/__pycache__/utils.cpython-39.pyc,2401,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\0c\5fd8e1283eb40de2a0c5972fdfbc80a26cbec7,test_0312/.git/objects/0c/5fd8e1283eb40de2a0c5972fdfbc80a26cbec7,210,SUCCESS,
E:\PythonProject\obs_sync_check\logs\obs_sync_check_20260414_6.log,test_0312/logs/obs_sync_check_20260414_6.log,778003,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\07\89edaa168b46c1db95c0580d963301d69a3f86,test_0312/.git/objects/07/89edaa168b46c1db95c0580d963301d69a3f86,6019,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_110524.csv,test_0312/check_report/obs_sync_check_20260414_110524.csv,665392,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_112118.csv,test_0312/check_report/obs_sync_check_20260414_112118.csv,683402,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\0e\842eb8ca174ce9373e5750138b010d83687a4a,test_0312/.git/objects/0e/842eb8ca174ce9373e5750138b010d83687a4a,48,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\pythonw.exe,test_0312/.venv/Scripts/pythonw.exe,102160,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_bz2.pyd,test_0312/.venv/Scripts/_bz2.pyd,84240,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_testsinglephase.pyd,test_0312/.venv/Scripts/_testsinglephase.pyd,32016,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\01\53fd8b8857e855d565e0ea91d7e7e82ae331b0,test_0312/.git/objects/01/53fd8b8857e855d565e0ea91d7e7e82ae331b0,381,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\10\5ce2da2d6447d11dfe32bfb846c3d5b199fc99,test_0312/.git/objects/10/5ce2da2d6447d11dfe32bfb846c3d5b199fc99,142,SUCCESS,
E:\PythonProject\obs_sync_check\tests\__pycache__\test_core.cpython-313.pyc,test_0312/tests/__pycache__/test_core.cpython-313.pyc,15831,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\01\4ee3c983cbe4f5aec7f5cc658988853686d6f5,test_0312/.git/objects/01/4ee3c983cbe4f5aec7f5cc658988853686d6f5,5945,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\0d\d40a7532d17ca2133e2c12ca6f1dd98baa6d23,test_0312/.git/objects/0d/d40a7532d17ca2133e2c12ca6f1dd98baa6d23,3896,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\19\4ce3b96c50d2b838eb1bf1dcaf192df5dc135e,test_0312/.git/objects/19/4ce3b96c50d2b838eb1bf1dcaf192df5dc135e,288,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\08\dd9e659dbe2c99fae7a93c506afa913ec03c40,test_0312/.git/objects/08/dd9e659dbe2c99fae7a93c506afa913ec03c40,545,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\06\d133bcebc6bb52a982470e83de7b93bf00e31f,test_0312/.git/objects/06/d133bcebc6bb52a982470e83de7b93bf00e31f,289,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\0c\b28c9bebfacbccbe4cd59bc8633dfa05b180d6,test_0312/.git/objects/0c/b28c9bebfacbccbe4cd59bc8633dfa05b180d6,3074,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\12\ea295061448ec5710c06b59b0e7cfb45e68774,test_0312/.git/objects/12/ea295061448ec5710c06b59b0e7cfb45e68774,290,SUCCESS,
E:\PythonProject\obs_sync_check\logs\obs_sync_check_20260414_9.log,test_0312/logs/obs_sync_check_20260414_9.log,792671,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_overlapped.pyd,test_0312/.venv/Scripts/_overlapped.pyd,55568,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\0c\fc125c3070120ca3e0f4b0a16c0144b7981f7d,test_0312/.git/objects/0c/fc125c3070120ca3e0f4b0a16c0144b7981f7d,1361,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\0d\f44d206e7ff9dfe44d701688fc0f1a7096b7b3,test_0312/.git/objects/0d/f44d206e7ff9dfe44d701688fc0f1a7096b7b3,438,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\11\86e8276513ef4beffb1c000a5a24346bae1f42,test_0312/.git/objects/11/86e8276513ef4beffb1c000a5a24346bae1f42,476,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\0b\e53e74e16aac66cfb57571955cbaea763e7d11,test_0312/.git/objects/0b/e53e74e16aac66cfb57571955cbaea763e7d11,475,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\14\26b81debf4612233137638f22c4c8ea4a7f856,test_0312/.git/objects/14/26b81debf4612233137638f22c4c8ea4a7f856,437,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\08\b2296c7a7aa6c4ef21a584eca3042bb43c5b1f,test_0312/.git/objects/08/b2296c7a7aa6c4ef21a584eca3042bb43c5b1f,177,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\18\7c59b2907c19bb9fc601c191f441af94511e84,test_0312/.git/objects/18/7c59b2907c19bb9fc601c191f441af94511e84,207,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\12\4ded497537b14a82daad161d51a3f32403f981,test_0312/.git/objects/12/4ded497537b14a82daad161d51a3f32403f981,1380,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\1e\1a6f53d7ab224805c6c4a3221888b8e10ead8f,test_0312/.git/objects/1e/1a6f53d7ab224805c6c4a3221888b8e10ead8f,94,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_110821.csv,test_0312/check_report/obs_sync_check_20260414_110821.csv,668535,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_112149.csv,test_0312/check_report/obs_sync_check_20260414_112149.csv,685149,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_testbuffer.pyd,test_0312/.venv/Scripts/_testbuffer.pyd,56080,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\27\4aeb1b2224871bf8515eceef6ba0c42b5c42bd,test_0312/.git/objects/27/4aeb1b2224871bf8515eceef6ba0c42b5c42bd,920,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\tk86t.dll,test_0312/.venv/Scripts/tk86t.dll,1569040,SUCCESS,
E:\PythonProject\obs_sync_check\.git\objects\13\4b9e8a0804e57929994a04124c230615c74c65,test_0312/.git/objects/13/4b9e8a0804e57929994a04124c230615c74c65,94,SUCCESS,
